"Total of '%s' vendor shop(s) have been updated.","Total of '%s' vendor shop(s) have been updated."
"Change Vendor Shops","Change Vendor Shops"
"Vendor Shop Status","Vendor Shop Status"
"Your Shop is disabled By Admin","Your Shop is disabled By Admin"
"Vendor Placeholder Image","Vendor Placeholder Image"
"Banner Placeholder Image","Banner Placeholder Image"
"Billing Name","Nombre de facturación"
"Send Approval Request","Enviar solicitud de aprobación"
"Hello, %s!","¡Hola %s!"
"Select","Selecciona"
"Filter","Filtrar"
"Products List","Lista de productos"
"Orders List","Lista de órdenes"
"Orders Reports","Reporte de órdenes"
"Product Reports","Reporte de productos"
"Payment",""
"Show Report","Mostrar reporte"
"Period","Periodo"
"Sales Items","Productos vendidos"
"Transaction","Transacción"
"Email Associated with PayPal Merchant Account","Email asociado con Paypal"
"Bank Transfer","Transferencia Bancaria"
"Order ID","Id orden"
"Settings","Opciones"
"Public Name","Nombre público"
